,Deployment.Location.ID,X,Area,Project,Grid,Camera,StartDate,EndDate,Treatment,GPSX,GPSY,Near_river,Near_road,Near_PA,Near_CP,Dry_NDVI,Wet_NDVI,Cols,Species,Season,sum
246,Y7300,8,South,Makgadikgadi,Makgadikgadi.South.A8,A8,2/3/2022,8/1/2022,Trail,24.29641426,-20.97891722,4390.6,185.12,24191.6166,2797.02,0.13853905,0.2030013,#AA20B2,BLACK-BACKED JACKAL,Dry,2
247,Y7400,11,South,Makgadikgadi,Makgadikgadi.South.B3,B3,2/2/2022,8/1/2022,Unknown,24.1492239,-21.16894978,39344.27,2301.99,2330.1536,3792.91,0.12859885,0.24284953,#B2AA20,BLACK-BACKED JACKAL,Dry,2
248,Y7400,11,South,Makgadikgadi,Makgadikgadi.South.B3,B3,2/2/2022,8/1/2022,Unknown,24.1492239,-21.16894978,39344.27,2301.99,2330.1536,3792.91,0.12859885,0.24284953,#B2AA20,CARACAL,Wet,1
249,Y7400,11,South,Makgadikgadi,Makgadikgadi.South.B3,B3,2/2/2022,8/1/2022,Unknown,24.1492239,-21.16894978,39344.27,2301.99,2330.1536,3792.91,0.12859885,0.24284953,#B2AA20,WILDCAT,Wet,1
250,Y7400,11,South,Makgadikgadi,Makgadikgadi.South.B3,B3,2/2/2022,8/1/2022,Unknown,24.1492239,-21.16894978,39344.27,2301.99,2330.1536,3792.91,0.12859885,0.24284953,#B2AA20,CARACAL,Dry,2
251,Y7400,11,South,Makgadikgadi,Makgadikgadi.South.B3,B3,2/2/2022,8/1/2022,Unknown,24.1492239,-21.16894978,39344.27,2301.99,2330.1536,3792.91,0.12859885,0.24284953,#B2AA20,BLACK-BACKED JACKAL,Wet,4
252,Y7600,36,South,Makgadikgadi,Makgadikgadi.South.E4,E4,2/2/2022,8/1/2022,Unknown,24.2834837,-21.23946606,34421.21,0.06,7438.4606,1855.67,0.15045486,0.2618076,#B2AA20,CARACAL,Dry,4
253,Y7600,36,South,Makgadikgadi,Makgadikgadi.South.E4,E4,2/2/2022,8/1/2022,Unknown,24.2834837,-21.23946606,34421.21,0.06,7438.4606,1855.67,0.15045486,0.2618076,#B2AA20,CARACAL,Wet,1
254,Y7600,36,South,Makgadikgadi,Makgadikgadi.South.E4,E4,2/2/2022,8/1/2022,Unknown,24.2834837,-21.23946606,34421.21,0.06,7438.4606,1855.67,0.15045486,0.2618076,#B2AA20,BLACK-BACKED JACKAL,Dry,14
255,Y7600,36,South,Makgadikgadi,Makgadikgadi.South.E4,E4,2/2/2022,8/1/2022,Unknown,24.2834837,-21.23946606,34421.21,0.06,7438.4606,1855.67,0.15045486,0.2618076,#B2AA20,BLACK-BACKED JACKAL,Wet,3
256,Y7600,36,South,Makgadikgadi,Makgadikgadi.South.E4,E4,2/2/2022,8/1/2022,Unknown,24.2834837,-21.23946606,34421.21,0.06,7438.4606,1855.67,0.15045486,0.2618076,#B2AA20,WILDCAT,Dry,8
257,Y7700,29,South,Makgadikgadi,Makgadikgadi.South.D5,D5,2/2/2022,8/1/2022,Unknown,24.29185502,-21.18125327,29891.5,181.56,11786.5946,3300.37,0.15956704,0.2561301,#B2AA20,BLACK-BACKED JACKAL,Wet,22
258,Y7700,29,South,Makgadikgadi,Makgadikgadi.South.D5,D5,2/2/2022,8/1/2022,Unknown,24.29185502,-21.18125327,29891.5,181.56,11786.5946,3300.37,0.15956704,0.2561301,#B2AA20,CARACAL,Dry,1
259,Y7700,29,South,Makgadikgadi,Makgadikgadi.South.D5,D5,2/2/2022,8/1/2022,Unknown,24.29185502,-21.18125327,29891.5,181.56,11786.5946,3300.37,0.15956704,0.2561301,#B2AA20,WILDCAT,Dry,2
260,Y7700,29,South,Makgadikgadi,Makgadikgadi.South.D5,D5,2/2/2022,8/1/2022,Unknown,24.29185502,-21.18125327,29891.5,181.56,11786.5946,3300.37,0.15956704,0.2561301,#B2AA20,BLACK-BACKED JACKAL,Dry,5
261,Y7700,29,South,Makgadikgadi,Makgadikgadi.South.D5,D5,2/2/2022,8/1/2022,Unknown,24.29185502,-21.18125327,29891.5,181.56,11786.5946,3300.37,0.15956704,0.2561301,#B2AA20,CARACAL,Wet,2
262,Y7800,37,South,Makgadikgadi,Makgadikgadi.South.E5,E5,2/2/2022,8/1/2022,Unknown,24.32755652,-21.21711275,24847.58,1038.06,16796.3765,4138.43,0.17708698,0.24168883,#B2AA20,CARACAL,Dry,8
263,Y7800,37,South,Makgadikgadi,Makgadikgadi.South.E5,E5,2/2/2022,8/1/2022,Unknown,24.32755652,-21.21711275,24847.58,1038.06,16796.3765,4138.43,0.17708698,0.24168883,#B2AA20,BLACK-BACKED JACKAL,Dry,20
264,Y7800,37,South,Makgadikgadi,Makgadikgadi.South.E5,E5,2/2/2022,8/1/2022,Unknown,24.32755652,-21.21711275,24847.58,1038.06,16796.3765,4138.43,0.17708698,0.24168883,#B2AA20,BLACK-BACKED JACKAL,Wet,16
265,Y7800,37,South,Makgadikgadi,Makgadikgadi.South.E5,E5,2/2/2022,8/1/2022,Unknown,24.32755652,-21.21711275,24847.58,1038.06,16796.3765,4138.43,0.17708698,0.24168883,#B2AA20,CARACAL,Wet,6
266,Y7800,37,South,Makgadikgadi,Makgadikgadi.South.E5,E5,2/2/2022,8/1/2022,Unknown,24.32755652,-21.21711275,24847.58,1038.06,16796.3765,4138.43,0.17708698,0.24168883,#B2AA20,WILDCAT,Dry,4
267,Y7800,37,South,Makgadikgadi,Makgadikgadi.South.E5,E5,2/2/2022,8/1/2022,Unknown,24.32755652,-21.21711275,24847.58,1038.06,16796.3765,4138.43,0.17708698,0.24168883,#B2AA20,WILDCAT,Wet,1
268,Y7900,38,South,Makgadikgadi,Makgadikgadi.South.E6,E6,2/2/2022,8/1/2022,On road,24.35630087,-21.18444986,20101.91,3.02,22122.858,472.92,0.14741923,0.2213868,#20B2AA,WILDCAT,Wet,1
269,Y7900,38,South,Makgadikgadi,Makgadikgadi.South.E6,E6,2/2/2022,8/1/2022,On road,24.35630087,-21.18444986,20101.91,3.02,22122.858,472.92,0.14741923,0.2213868,#20B2AA,WILDCAT,Dry,2
270,Y7900,38,South,Makgadikgadi,Makgadikgadi.South.E6,E6,2/2/2022,8/1/2022,On road,24.35630087,-21.18444986,20101.91,3.02,22122.858,472.92,0.14741923,0.2213868,#20B2AA,BLACK-BACKED JACKAL,Dry,37
271,Y7900,38,South,Makgadikgadi,Makgadikgadi.South.E6,E6,2/2/2022,8/1/2022,On road,24.35630087,-21.18444986,20101.91,3.02,22122.858,472.92,0.14741923,0.2213868,#20B2AA,BLACK-BACKED JACKAL,Wet,9
272,Y7900,38,South,Makgadikgadi,Makgadikgadi.South.E6,E6,2/2/2022,8/1/2022,On road,24.35630087,-21.18444986,20101.91,3.02,22122.858,472.92,0.14741923,0.2213868,#20B2AA,CARACAL,Wet,4
273,Y7900,38,South,Makgadikgadi,Makgadikgadi.South.E6,E6,2/2/2022,8/1/2022,On road,24.35630087,-21.18444986,20101.91,3.02,22122.858,472.92,0.14741923,0.2213868,#20B2AA,CARACAL,Dry,6
274,Y8000,9,South,Makgadikgadi,Makgadikgadi.South.B1,B1,1/31/2022,8/1/2022,On road,24.07686895,-21.24243681,15046.02,105.34,27278.2534,894.4,0.12773225,0.21742684,#20B2AA,WILDCAT,Dry,1
275,Y8100,3,South,Makgadikgadi,Makgadikgadi.South.A3,A3,1/30/2022,8/1/2022,Unknown,24.1236029,-21.14915275,10653.64,189.64,31757.61,1075.04,0.09584145,0.22435582,#B2AA20,AARDWOLF,Dry,3
276,Y8100,3,South,Makgadikgadi,Makgadikgadi.South.A3,A3,1/30/2022,8/1/2022,Unknown,24.1236029,-21.14915275,10653.64,189.64,31757.61,1075.04,0.09584145,0.22435582,#B2AA20,BLACK-BACKED JACKAL,Wet,3
277,Y8100,3,South,Makgadikgadi,Makgadikgadi.South.A3,A3,1/30/2022,8/1/2022,Unknown,24.1236029,-21.14915275,10653.64,189.64,31757.61,1075.04,0.09584145,0.22435582,#B2AA20,BLACK-BACKED JACKAL,Dry,14
278,Y8100,3,South,Makgadikgadi,Makgadikgadi.South.A3,A3,1/30/2022,8/1/2022,Unknown,24.1236029,-21.14915275,10653.64,189.64,31757.61,1075.04,0.09584145,0.22435582,#B2AA20,WILDCAT,Dry,6
279,Y8200,12,South,Makgadikgadi,Makgadikgadi.South.B4,B4,1/30/2022,8/1/2022,Unknown,24.1830716,-21.13794865,5850.78,35.54,27923.6965,1950.43,0.08308896,0.080890976,#B2AA20,WILDCAT,Dry,5
280,Y8200,12,South,Makgadikgadi,Makgadikgadi.South.B4,B4,1/30/2022,8/1/2022,Unknown,24.1830716,-21.13794865,5850.78,35.54,27923.6965,1950.43,0.08308896,0.080890976,#B2AA20,BLACK-BACKED JACKAL,Wet,1
281,Y8200,12,South,Makgadikgadi,Makgadikgadi.South.B4,B4,1/30/2022,8/1/2022,Unknown,24.1830716,-21.13794865,5850.78,35.54,27923.6965,1950.43,0.08308896,0.080890976,#B2AA20,BLACK-BACKED JACKAL,Dry,7
282,Y8200,12,South,Makgadikgadi,Makgadikgadi.South.B4,B4,1/30/2022,8/1/2022,Unknown,24.1830716,-21.13794865,5850.78,35.54,27923.6965,1950.43,0.08308896,0.080890976,#B2AA20,WILDCAT,Wet,2
283,Y8300,20,South,Makgadikgadi,Makgadikgadi.South.C4,C4,1/31/2022,8/1/2022,On road,24.22303653,-21.18570612,39771.23,0.48,3229.6945,4084.85,0.120014705,0.2658716,#20B2AA,CARACAL,Dry,4
284,Y8300,20,South,Makgadikgadi,Makgadikgadi.South.C4,C4,1/31/2022,8/1/2022,On road,24.22303653,-21.18570612,39771.23,0.48,3229.6945,4084.85,0.120014705,0.2658716,#20B2AA,CARACAL,Wet,1
285,Y8300,20,South,Makgadikgadi,Makgadikgadi.South.C4,C4,1/31/2022,8/1/2022,On road,24.22303653,-21.18570612,39771.23,0.48,3229.6945,4084.85,0.120014705,0.2658716,#20B2AA,WILDCAT,Dry,3
286,Y8300,20,South,Makgadikgadi,Makgadikgadi.South.C4,C4,1/31/2022,8/1/2022,On road,24.22303653,-21.18570612,39771.23,0.48,3229.6945,4084.85,0.120014705,0.2658716,#20B2AA,BLACK-BACKED JACKAL,Dry,4
287,Y8300,20,South,Makgadikgadi,Makgadikgadi.South.C4,C4,1/31/2022,8/1/2022,On road,24.22303653,-21.18570612,39771.23,0.48,3229.6945,4084.85,0.120014705,0.2658716,#20B2AA,BLACK-BACKED JACKAL,Wet,1
288,Y8300,20,South,Makgadikgadi,Makgadikgadi.South.C4,C4,1/31/2022,8/1/2022,On road,24.22303653,-21.18570612,39771.23,0.48,3229.6945,4084.85,0.120014705,0.2658716,#20B2AA,WILDCAT,Wet,1
289,Y8400,30,South,Makgadikgadi,Makgadikgadi.South.D6,D6,2/3/2022,8/1/2022,Unknown,24.32667711,-21.14719393,36039.56,290.1,6937.1278,2822.28,0.1476034,0.26941115,#B2AA20,BLACK-BACKED JACKAL,Wet,3
